DATE,TEMPERATURE,HUMIDITY,PRECIPITATION,INSOLATION,LENGTH
2023-01-01,4.8,52.0,0,9.07,8
2023-01-02,2.4,57.8,0.5,7.16,8.1
2023-01-03,3.1,53.9,0,11.07,8.21
2023-01-04,2.5,53.1,0.0,7.98,8.21
2023-01-05,3.4,54.9,0,5.68,8.21
2023-01-06,4.8,53.6,0,11.01,8.32
2023-01-07,4.9,80.0,13.5,5.0,8.42
2023-01-08,6.0,59.8,0.0,11.18,8.53
2023-01-09,6.0,70.4,0.3,6.37,8.63
2023-01-10,5.2,70.5,0,8.37,8.63
2023-01-11,8.9,48.9,0,12.07,8.74
2023-01-12,11.2,57.3,0,11.01,8.85
2023-01-13,12.3,97.4,8.2,0.14,8.95
2023-01-14,4.5,95.0,0.8,1.07,9.05
2023-01-15,1.1,100.0,12.7,1.52,9.15
2023-01-16,0.1,96.3,15.7,1.86,9.25
2023-01-17,1.7,71.5,0.0,8.85,9.25
2023-01-18,1.7,63.5,0.8,6.37,9.46
2023-01-19,2.2,56.9,0,11.6,9.57
2023-01-20,1.9,57.5,0.0,10.88,9.68
2023-01-21,0.4,59.1,0.0,12.9,9.79
2023-01-22,2.4,69.0,0.5,5.62,10.0
2023-01-23,3.8,69.0,2.9,10.61,10.32
2023-01-24,-6.0,92.9,91.9,0.56,10.42
2023-01-25,-5.5,73.5,7.1,5.51,10.52
2023-01-26,-1.8,72.6,0.2,5.28,10.62
2023-01-27,-1.9,87.3,20.3,7.21,10.72
2023-01-28,-3.1,73.9,2.3,5.33,10.82
2023-01-29,0.0,70.8,0.4,7.04,10.92
2023-01-30,-0.2,65.8,8.4,4.79,11.13
2023-01-31,3.6,59.0,0,13.2,11.24
2023-02-01,4.4,64.6,0.2,14.12,11.56
2023-02-02,1.0,70.6,2.0,8.34,11.66
2023-02-03,2.5,61.6,0,10.62,11.88
2023-02-04,2.0,58.6,0.0,11.11,11.99
2023-02-05,3.9,53.3,0,13.29,12.1
2023-02-06,6.3,52.8,0,13.65,12.21
2023-02-07,6.2,73.8,0.2,7.63,12.31
2023-02-08,3.7,85.5,2.3,5.79,12.41
2023-02-09,4.0,64.0,0,6.19,12.52
2023-02-10,4.8,87.9,15.2,1.43,12.62
2023-02-11,5.8,71.3,0,11.7,12.73
2023-02-12,6.4,78.3,0.0,10.08,12.84
2023-02-13,2.7,70.9,0.0,4.29,12.84
2023-02-14,-0.7,82.6,7.9,4.21,12.94
2023-02-15,-1.5,70.0,0.0,7.59,12.94
2023-02-16,2.1,76.1,0.0,4.63,12.94
2023-02-17,6.0,58.1,0,14.13,13.05
2023-02-18,7.4,79.9,0.0,1.61,13.05
2023-02-19,7.6,58.3,0,15.11,13.16
2023-02-20,1.1,57.4,1.0,7.88,13.26
2023-02-21,-1.5,81.3,6.7,7.45,13.36
2023-02-22,3.2,75.1,0,10.61,13.47
2023-02-23,6.7,59.8,0,16.61,13.58
2023-02-24,3.7,71.3,0.0,11.66,13.69
2023-02-25,0.5,75.9,7.7,5.1,13.79
2023-02-26,3.9,61.8,0,17.17,14.01
2023-02-27,8.1,72.3,0,18.28,14.12
2023-02-28,9.8,56.9,0,17.9,14.23
2023-03-01,6.7,68.9,2.5,5.8,14.44
2023-03-02,1.6,66.1,2.1,10.78,14.76
2023-03-03,6.9,50.8,0,18.53,14.87
2023-03-04,8.2,65.5,0,16.45,15.09
2023-03-05,8.8,70.1,0,18.66,15.2
2023-03-06,11.3,62.8,0,18.85,15.42
2023-03-07,14.1,43.9,0.0,15.78,15.53
2023-03-08,14.9,44.8,0.0,15.34,15.64
2023-03-09,12.9,83.3,0,15.19,15.75
2023-03-10,9.9,85.8,0,12.01,15.86
2023-03-11,12.5,96.8,0.0,9.64,15.86
2023-03-12,9.2,90.9,14.5,4.92,15.96
2023-03-13,2.5,58.4,5.7,18.45,16.17
2023-03-14,9.8,61.1,0,20.12,16.28
2023-03-15,12.9,79.6,0,18.78,16.39
2023-03-16,6.8,60.4,0,15.03,16.61
2023-03-17,6.8,61.3,0,14.51,16.83
2023-03-18,8.1,70.8,0,16.96,16.94
2023-03-19,10.9,68.1,0,21.63,17.05
2023-03-20,11.8,80.5,0,17.07,17.16
2023-03-21,13.6,50.5,0,20.64,17.16
2023-03-22,14.1,84.3,0,18.51,17.27
2023-03-23,13.3,98.6,17.8,3.79,17.37
2023-03-24,7.0,71.6,0,18.87,17.48
2023-03-25,6.1,73.9,0,12.62,17.59
2023-03-26,8.0,72.8,0,10.18,17.7
2023-03-27,7.5,81.5,0.8,15.25,17.91
2023-03-28,10.2,73.6,0,23.11,17.91
2023-03-29,10.7,85.5,3.5,11.97,18.12
2023-03-30,15.7,42.8,0,22.42,18.12
2023-03-31,15.3,45.8,0,22.81,18.12
2023-04-01,12.6,66.8,0,24.14,18.23
2023-04-02,11.4,75.5,0,20.98,18.23
2023-04-03,10.9,83.0,0,22.96,18.23
2023-04-04,12.6,86.3,0,18.65,18.34
2023-04-05,12.8,100.0,26.0,0.33,18.44
2023-04-06,13.0,86.8,0.5,13.99,18.65
2023-04-07,11.5,64.8,5.5,19.75,18.97
2023-04-08,9.3,45.0,0,23.78,18.97
2023-04-09,12.4,57.5,0,26.36,18.97
2023-04-10,14.2,56.3,0,24.07,18.97
2023-04-11,15.0,77.6,0,16.04,19.08
2023-04-12,12.2,37.3,0,25.14,19.08
2023-04-13,15.1,34.8,0,24.57,19.08
2023-04-14,16.8,62.0,0,21.0,19.19
2023-04-15,12.4,93.3,8.3,3.17,19.29
2023-04-16,8.9,79.8,0,13.93,19.4
2023-04-17,11.5,77.1,2.2,22.6,19.5
2023-04-18,12.0,88.3,4.1,2.36,19.6
2023-04-19,14.2,86.8,0,22.59,19.6
2023-04-20,18.7,76.9,0.0,24.36,19.6
2023-04-21,11.1,54.9,0,22.22,19.6
2023-04-22,9.8,55.1,0,22.85,19.6
2023-04-23,10.8,49.1,0,22.22,19.6
2023-04-24,11.1,59.8,0,21.13,19.6
2023-04-25,9.5,80.8,4.3,4.88,19.7
2023-04-26,10.8,76.9,0.9,19.74,19.91
2023-04-27,13.2,69.5,0,27.39,20.02
2023-04-28,15.4,77.1,0,24.98,20.02
2023-04-29,14.7,92.1,17.1,0.76,20.12
2023-04-30,14.3,61.0,0,28.57,20.23
2023-05-01,12.9,56.8,1.1,27.25,20.33
