EXAMIN_DE,PRDLST_NM,AREA_NM,AMT
2018-10-23,사과,대구,37000
2018-10-24,사과,대구,37000
2018-10-25,사과,대구,37000
2018-10-26,사과,대구,37000
2018-10-29,사과,대구,37000
2018-10-30,사과,대구,37000
2018-10-31,사과,대구,37000
2018-11-01,사과,대구,35000
2018-11-02,사과,대구,30000
2018-11-05,사과,대구,32000
2018-11-06,사과,대구,32000
2018-11-07,사과,대구,33000
2018-11-08,사과,대구,33000
2018-11-09,사과,대구,33000
2018-11-12,사과,대구,33000
2018-11-13,사과,대구,33000
2018-11-14,사과,대구,33000
2018-11-15,사과,대구,33000
2018-11-16,사과,대구,33000
2018-11-19,사과,대구,33000
2018-11-20,사과,대구,33000
2018-11-21,사과,대구,38000
2018-11-22,사과,대구,38000
2018-11-23,사과,대구,39000
2018-11-26,사과,대구,39000
2018-11-27,사과,대구,39000
2018-11-28,사과,대구,39000
2018-11-29,사과,대구,39000
2018-11-30,사과,대구,39000
2018-12-03,사과,대구,36000
2018-12-04,사과,대구,36000
2018-12-05,사과,대구,36000
2018-12-06,사과,대구,36000
2018-12-10,사과,대구,36000
2018-12-11,사과,대구,36000
2018-12-12,사과,대구,36000
2018-12-13,사과,대구,36000
2018-12-14,사과,대구,35000
2018-12-17,사과,대구,37000
2018-12-18,사과,대구,37000
2018-12-20,사과,대구,37000
2018-12-21,사과,대구,37000
2018-12-24,사과,대구,37000
2018-12-26,사과,대구,37000
2018-12-27,사과,대구,37000
2018-12-28,사과,대구,37000
2018-12-31,사과,대구,37000
2019-01-02,사과,대구,37000
2019-01-03,사과,대구,37000
2019-01-04,사과,대구,37000
2019-01-07,사과,대구,37000
2019-01-08,사과,대구,37000
2019-01-09,사과,대구,39000
2019-01-10,사과,대구,39000
2019-01-11,사과,대구,39000
2019-01-14,사과,대구,39000
2019-01-15,사과,대구,39000
2019-01-16,사과,대구,39000
2019-01-17,사과,대구,39000
2019-01-18,사과,대구,39000
2019-01-21,사과,대구,39000
2019-01-22,사과,대구,40000
2019-01-23,사과,대구,43000
2019-01-24,사과,대구,43000
2019-01-25,사과,대구,43000
2019-01-28,사과,대구,43000
2019-01-29,사과,대구,43000
2019-01-30,사과,대구,38000
2019-01-31,사과,대구,38000
2019-02-01,사과,대구,38000
2019-02-07,사과,대구,38000
2019-02-08,사과,대구,38000
2019-02-11,사과,대구,38000
2019-02-12,사과,대구,38000
2019-02-13,사과,대구,38000
2019-02-14,사과,대구,38000
2019-02-15,사과,대구,36000
2019-02-18,사과,대구,35000
2019-02-19,사과,대구,35000
2019-02-20,사과,대구,35000
2019-02-21,사과,대구,35000
2019-02-22,사과,대구,34000
2019-02-25,사과,대구,34000
2019-02-26,사과,대구,34000
2019-02-27,사과,대구,34000
2019-02-28,사과,대구,34000
2019-03-04,사과,대구,34000
2019-03-05,사과,대구,34000
2019-03-06,사과,대구,34000
2019-03-11,사과,대구,37000
2019-03-12,사과,대구,37000
2019-03-13,사과,대구,37000
2019-03-14,사과,대구,37000
2019-03-15,사과,대구,36000
2019-03-18,사과,대구,36000
2019-03-19,사과,대구,36000
2019-03-20,사과,대구,36000
2019-03-21,사과,대구,36000
2019-03-22,사과,대구,36000
2019-03-25,사과,대구,36000
2019-03-26,사과,대구,35000
2019-03-27,사과,대구,35000
2019-03-28,사과,대구,35000
2019-03-29,사과,대구,35000
2019-04-01,사과,대구,35000
2019-04-02,사과,대구,35000
2019-04-03,사과,대구,37000
2019-04-04,사과,대구,37000
2019-04-05,사과,대구,37000
2019-04-08,사과,대구,37000
2019-04-09,사과,대구,37000
2019-04-10,사과,대구,37000
2019-04-11,사과,대구,37000
2019-04-12,사과,대구,37000
2019-04-15,사과,대구,35000
2019-04-16,사과,대구,35000
2019-04-17,사과,대구,35000
2019-04-18,사과,대구,35000
2019-04-19,사과,대구,35000
2019-04-22,사과,대구,35000
2019-04-23,사과,대구,35000
2019-04-24,사과,대구,35000
2019-04-25,사과,대구,35000
2019-04-26,사과,대구,35000
2019-04-29,사과,대구,35000
2019-04-30,사과,대구,38000
2019-05-02,사과,대구,38000
2019-05-03,사과,대구,43000
2019-05-07,사과,대구,44000
2019-05-08,사과,대구,44000
2019-05-09,사과,대구,44000
2019-05-10,사과,대구,44000
2019-05-13,사과,대구,44000
2019-05-14,사과,대구,44000
2019-05-15,사과,대구,44000
2019-05-16,사과,대구,44000
2019-05-17,사과,대구,44000
2019-05-20,사과,대구,44000
2019-05-21,사과,대구,44000
2019-05-22,사과,대구,44000
2019-05-23,사과,대구,44000
2019-05-24,사과,대구,44000
2019-05-27,사과,대구,44000
2019-05-28,사과,대구,44000
2019-05-29,사과,대구,42000
